ID,Name,"Mini Description",Description,SKU,Price,"Compare Price","Price After Sale","On Sale",Stock,Category,Subcategory,"Image Name","All Images",Active,Featured,"Created At"
1,"iPhone 15 Pro Max 256GB","Apple's flagship with A17 Pro chip, titanium design, and 48MP camera system.","Apple's flagship with A17 Pro chip, titanium design, and 48MP camera system.",PHN-2C6705,1399,,1399,No,25,Electronics,Smartphones,iphone-15-pro-max-256gb.webp,iphone-15-pro-max-256gb.webp,Yes,Yes,"2026-01-08 13:36:09"
2,"Samsung Galaxy S24 Ultra","AI-powered Galaxy with S Pen, 200MP camera, and Snapdragon 8 Gen 3.","AI-powered Galaxy with S Pen, 200MP camera, and Snapdragon 8 Gen 3.",PHN-KI4560,1299,1850,1299,Yes,18,Electronics,Smartphones,samsung-galaxy-s24-ultra.webp,samsung-galaxy-s24-ultra.webp,Yes,Yes,"2026-01-08 13:36:09"
3,"Xiaomi 14 Pro","Leica optics, Snapdragon 8 Gen 3, and 120W HyperCharge.","Leica optics, Snapdragon 8 Gen 3, and 120W HyperCharge.",PHN-CD2223,799,1780,799,Yes,35,Electronics,Smartphones,xiaomi-14-pro.webp,xiaomi-14-pro.webp,Yes,No,"2026-01-08 13:36:09"
4,"HUAWEI Mate 60 Pro","Satellite calling, Kirin 9000S chip, and variable aperture camera.","Satellite calling, Kirin 9000S chip, and variable aperture camera.",PHN-IO2800,999,,999,No,12,Electronics,Smartphones,huawei-mate-60-pro.webp,huawei-mate-60-pro.webp,Yes,No,"2026-01-08 13:36:09"
5,"OPPO Reno 11 Pro","Portrait expert with Hasselblad color science and 80W fast charging.","Portrait expert with Hasselblad color science and 80W fast charging.",PHN-JT3804,549,915,549,Yes,42,Electronics,Smartphones,oppo-reno-11-pro.webp,oppo-reno-11-pro.webp,Yes,No,"2026-01-08 13:36:09"
6,"Google Pixel 8 Pro","Best-in-class AI photography with Tensor G3 chip and 7 years of updates.","Best-in-class AI photography with Tensor G3 chip and 7 years of updates.",PHN-CV3770,999,1430,999,Yes,20,Electronics,Smartphones,google-pixel-8-pro.webp,google-pixel-8-pro.webp,Yes,Yes,"2026-01-08 13:36:09"
7,"OnePlus 12","Flagship killer with Snapdragon 8 Gen 3 and 100W SUPERVOOC charging.","Flagship killer with Snapdragon 8 Gen 3 and 100W SUPERVOOC charging.",PHN-T59062,799,1140,799,Yes,28,Electronics,Smartphones,oneplus-12.webp,oneplus-12.webp,Yes,No,"2026-01-08 13:36:09"
8,"MacBook Pro 14"" M3 Pro","Apple silicon powerhouse with Liquid Retina XDR display and 18-hour battery.","Apple silicon powerhouse with Liquid Retina XDR display and 18-hour battery.",LAP-5H1415,1999,,1999,No,8,Electronics,Laptops,macbook-pro-14-m3-pro.webp,macbook-pro-14-m3-pro.webp,Yes,Yes,"2026-01-08 13:36:09"
9,"Dell XPS 15 (2024)","Intel Core Ultra, OLED display, and premium aluminum build.","Intel Core Ultra, OLED display, and premium aluminum build.",LAP-ZA6057,1599,2280,1599,Yes,15,Electronics,Laptops,dell-xps-15-2024.webp,dell-xps-15-2024.webp,Yes,Yes,"2026-01-08 13:36:09"
10,"ASUS ROG Strix G16","RTX 4070 gaming laptop with 165Hz display and RGB lighting.","RTX 4070 gaming laptop with 165Hz display and RGB lighting.",LAP-IY1708,1449,,1449,No,10,Electronics,Laptops,asus-rog-strix-g16.webp,asus-rog-strix-g16.webp,Yes,No,"2026-01-08 13:36:09"
11,"Lenovo ThinkPad X1 Carbon Gen 11","Business ultrabook with Intel vPro, 4G LTE, and legendary keyboard.","Business ultrabook with Intel vPro, 4G LTE, and legendary keyboard.",LAP-586226,1699,2430,1699,Yes,6,Electronics,Laptops,lenovo-thinkpad-x1-carbon-gen-11.webp,lenovo-thinkpad-x1-carbon-gen-11.webp,Yes,No,"2026-01-08 13:36:09"
12,"HP Pavilion 15","Affordable everyday laptop with Intel Core i5 and 512GB SSD.","Affordable everyday laptop with Intel Core i5 and 512GB SSD.",LAP-E53942,549,915,549,Yes,45,Electronics,Laptops,hp-pavilion-15.webp,hp-pavilion-15.webp,Yes,No,"2026-01-08 13:36:09"
13,"Microsoft Surface Laptop 5","Sleek design with PixelSense touchscreen and all-day battery life.","Sleek design with PixelSense touchscreen and all-day battery life.",LAP-ZN1703,1299,,1299,No,12,Electronics,Laptops,microsoft-surface-laptop-5.webp,microsoft-surface-laptop-5.webp,Yes,No,"2026-01-08 13:36:09"
14,"Acer Swift Go 14","Ultra-portable with Intel Core Ultra and stunning 2.8K OLED display.","Ultra-portable with Intel Core Ultra and stunning 2.8K OLED display.",LAP-LX2278,899,1500,899,Yes,22,Electronics,Laptops,acer-swift-go-14.webp,acer-swift-go-14.webp,Yes,No,"2026-01-08 13:36:09"
15,"Apple AirPods Pro 2nd Gen","Active noise cancellation, spatial audio, and USB-C charging case.","Active noise cancellation, spatial audio, and USB-C charging case.",ACC-HJ4908,249,,249,No,65,Electronics,Accessories,apple-airpods-pro-2nd-gen.webp,apple-airpods-pro-2nd-gen.webp,Yes,Yes,"2026-01-08 13:36:09"
16,"Samsung 25W USB-C Charger","Super fast charging adapter compatible with Galaxy devices.","Super fast charging adapter compatible with Galaxy devices.",ACC-RG6934,29,58,29,Yes,150,Electronics,Accessories,samsung-25w-usb-c-charger.webp,samsung-25w-usb-c-charger.webp,Yes,No,"2026-01-08 13:36:09"
17,"Anker PowerCore 20000mAh","High-capacity power bank with dual USB ports and fast charging.","High-capacity power bank with dual USB ports and fast charging.",ACC-F04878,59,150,59,Yes,85,Electronics,Accessories,anker-powercore-20000mah.webp,anker-powercore-20000mah.webp,Yes,No,"2026-01-08 13:36:09"
18,"Logitech MX Master 3S","Quiet clicks, 8K DPI sensor, and MagSpeed electromagnetic scrolling.","Quiet clicks, 8K DPI sensor, and MagSpeed electromagnetic scrolling.",ACC-T84438,99,165,99,Yes,40,Electronics,Accessories,logitech-mx-master-3s.webp,logitech-mx-master-3s.webp,Yes,Yes,"2026-01-08 13:36:09"
19,"JBL Tune 760NC Headphones","Wireless over-ear headphones with active noise cancelling and 50hr battery.","Wireless over-ear headphones with active noise cancelling and 50hr battery.",ACC-FJ6964,119,170,119,Yes,55,Electronics,Accessories,jbl-tune-760nc-headphones.webp,jbl-tune-760nc-headphones.webp,Yes,No,"2026-01-08 13:36:09"
20,"Apple Watch Series 9","Advanced health features with double tap gesture and brighter display.","Advanced health features with double tap gesture and brighter display.",ACC-IC3475,429,,429,No,30,Electronics,Accessories,apple-watch-series-9.webp,apple-watch-series-9.webp,Yes,Yes,"2026-01-08 13:36:09"
21,"La Roche-Posay Effaclar Duo","Dual action acne treatment for oily and blemish-prone skin.","Dual action acne treatment for oily and blemish-prone skin.",SKN-AL4609,28,70,28,Yes,75,Skincare,,la-roche-posay-effaclar-duo.webp,la-roche-posay-effaclar-duo.webp,Yes,No,"2026-01-08 13:36:09"
22,"CeraVe Moisturizing Cream","Rich cream with ceramides and hyaluronic acid for 24hr hydration.","Rich cream with ceramides and hyaluronic acid for 24hr hydration.",SKN-4P7657,19,48,19,Yes,110,Skincare,,cerave-moisturizing-cream.webp,cerave-moisturizing-cream.webp,Yes,Yes,"2026-01-08 13:36:09"
23,"The Ordinary Niacinamide 10%","Serum for reducing blemishes and balancing sebum.","Serum for reducing blemishes and balancing sebum.",SKN-1G6709,12,,12,No,95,Skincare,,the-ordinary-niacinamide-10.webp,the-ordinary-niacinamide-10.webp,Yes,No,"2026-01-08 13:36:09"
24,"Dead Sea Mud Mask","Authentic Jordan Dead Sea mud for deep pore cleansing.","Authentic Jordan Dead Sea mud for deep pore cleansing.",SKN-282747,24,40,24,Yes,60,Skincare,,dead-sea-mud-mask.webp,dead-sea-mud-mask.webp,Yes,Yes,"2026-01-08 13:36:09"
25,"Bioderma Sensibio H2O Micellar","Gentle makeup remover for sensitive skin, 500ml.","Gentle makeup remover for sensitive skin, 500ml.",SKN-6X1392,22,75,22,Yes,85,Skincare,,bioderma-sensibio-h2o-micellar.webp,bioderma-sensibio-h2o-micellar.webp,Yes,No,"2026-01-08 13:36:09"
26,"Minimalist Silver Bracelet","Elegant sterling silver bracelet with minimalist design. Adjustable chain length, hypoallergenic, perfect for everyday wear.","Elegant sterling silver bracelet with minimalist design. Adjustable chain length, hypoallergenic, perfect for everyday wear.",UG0-4357,18,,18,No,50,Fashion,"Women's Fashion",minimalist-silver-bracelet.webp,minimalist-silver-bracelet.webp,Yes,No,"2026-01-08 13:36:09"
27,"Canvas Tote Bag","Durable cotton canvas tote bag with inner pocket. Eco-friendly, reusable, great for shopping or daily use.","Durable cotton canvas tote bag with inner pocket. Eco-friendly, reusable, great for shopping or daily use.",WEG-4462,15,,15,No,60,Fashion,"Women's Fashion",canvas-tote-bag.webp,canvas-tote-bag.webp,Yes,No,"2026-01-08 13:36:09"
28,"Leather Belt","Classic genuine leather belt with brushed metal buckle. Available in multiple sizes, durable and stylish.","Classic genuine leather belt with brushed metal buckle. Available in multiple sizes, durable and stylish.",WOE-6269,22,40,22,Yes,40,Fashion,"Men's Fashion",leather-belt.webp,leather-belt.webp,Yes,No,"2026-01-08 13:36:09"
29,"Wool Beanie Hat","Soft merino wool beanie hat for winter. Warm, breathable, and comfortable fit for all head sizes.","Soft merino wool beanie hat for winter. Warm, breathable, and comfortable fit for all head sizes.",II9-4888,12,22,12,Yes,55,Fashion,"Men's Fashion",wool-beanie-hat.webp,wool-beanie-hat.webp,Yes,No,"2026-01-08 13:36:09"
30,"Electric Kettle 1.7L","Fast boiling electric kettle with auto shut-off and boil-dry protection. Stainless steel interior, BPA-free.","Fast boiling electric kettle with auto shut-off and boil-dry protection. Stainless steel interior, BPA-free.",YCF-5140,28,,28,No,35,"Home & Kitchen","Kitchen Appliances",electric-kettle-17l.webp,electric-kettle-17l.webp,Yes,No,"2026-01-08 13:36:09"
