ID,SKU,Slug,Name,"Name (AR)","Short Description","Short Description (AR)",Description,"Description (AR)",Category,Subcategory,Price,"Compare Price","Discount %",Stock,"Low Stock Threshold",Status,Featured,Color,"Color Hex","Available Sizes","Size Stock","Available Colors","Variant Stock","Product Group","Times Purchased","Avg Rating","Review Count","View Count","Primary Image","Created At","Updated At"
41,HIM-5300,a4-sketchbook-100-pages,"A4 Sketchbook 100 Pages","دفتر رسم A4 - 100 صفحة","Premium A4 sketchbook with 100 pages of acid-free paper. 160gsm weight, suitable for pencil, charcoal, and light markers.","دفتر رسم A4 فاخر مع 100 صفحة من الورق الخالي من الحمض. وزن 160 جرام، مناسب للقلم الرصاص والفحم والأقلام الخفيفة.","Premium A4 sketchbook with 100 pages of acid-free paper. 160gsm weight, suitable for pencil, charcoal, and light markers.","دفتر رسم A4 فاخر مع 100 صفحة من الورق الخالي من الحمض. وزن 160 جرام، مناسب للقلم الرصاص والفحم والأقلام الخفيفة.",Stationery,"Office Supplies",10.00,,,55,,Active,No,,,,,,,,46,5.0,2,333,a4-sketchbook-100-pages.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
14,LAP-GU3587,acer-swift-go-14,"Acer Swift Go 14","أيسر سويفت جو 14","Ultra-portable with Intel Core Ultra and stunning 2.8K OLED display.","خفيف جداً مع معالج إنتل كور ألترا وشاشة OLED مذهلة بدقة 2.8K.","Ultra-portable with Intel Core Ultra and stunning 2.8K OLED display.","خفيف جداً مع معالج إنتل كور ألترا وشاشة OLED مذهلة بدقة 2.8K.",Electronics,Laptops,899.00,"1,500.00",40.1%,22,,Active,No,,,,,,,,76,4.3,51,1890,acer-swift-go-14.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
34,LZN-6054,adjustable-dumbbell-set,"Adjustable Dumbbell Set","طقم دمبل قابل للتعديل","Space-saving adjustable dumbbells from 2.5kg to 12.5kg each. Quick-change weight system, anti-slip grip.","دمبل قابل للتعديل موفر للمساحة من 2.5 كجم إلى 12.5 كجم لكل واحد. نظام تغيير وزن سريع، قبضة مانعة للانزلاق.","Space-saving adjustable dumbbells from 2.5kg to 12.5kg each. Quick-change weight system, anti-slip grip.","دمبل قابل للتعديل موفر للمساحة من 2.5 كجم إلى 12.5 كجم لكل واحد. نظام تغيير وزن سريع، قبضة مانعة للانزلاق.",Sports,"Fitness Equipment",45.00,,,20,,Active,No,,,,,,,,74,4.1,49,224,adjustable-dumbbell-set.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
17,ACC-M77020,anker-powercore-20000mah,"Anker PowerCore 20000mAh","أنكر باور كور 20000 مللي أمبير","High-capacity power bank with dual USB ports and fast charging.","بطارية خارجية عالية السعة مع منفذين USB وشحن سريع.","High-capacity power bank with dual USB ports and fast charging.","بطارية خارجية عالية السعة مع منفذين USB وشحن سريع.",Electronics,Accessories,59.00,150.00,60.7%,85,,Active,No,,,,,,,,289,5.0,1,2892,anker-powercore-20000mah.webp,"2026-01-26 10:26:50","2026-02-03 07:34:10"
15,ACC-EY2182,apple-airpods-pro-2nd-gen,"Apple AirPods Pro 2nd Gen","أبل إيربودز برو الجيل الثاني","Active noise cancellation, spatial audio, and USB-C charging case.","إلغاء الضوضاء النشط والصوت المكاني وعلبة شحن USB-C.","Active noise cancellation, spatial audio, and USB-C charging case.","إلغاء الضوضاء النشط والصوت المكاني وعلبة شحن USB-C.",Electronics,Accessories,249.00,,,65,,Active,Yes,,,,,,,,312,4.8,234,5670,apple-airpods-pro-2nd-gen.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
20,ACC-3U5936,apple-watch-series-9,"Apple Watch Series 9","أبل واتش سيريز 9","Advanced health features with double tap gesture and brighter display.","ميزات صحية متقدمة مع إيماءة النقر المزدوج وشاشة أكثر سطوعاً.","Advanced health features with double tap gesture and brighter display.","ميزات صحية متقدمة مع إيماءة النقر المزدوج وشاشة أكثر سطوعاً.",Electronics,Accessories,429.00,,,30,,Active,Yes,,,,,,,,134,4.7,89,3890,apple-watch-series-9.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
61,L0C-6570,arabic-calligraphy-set,"Arabic Calligraphy Set","طقم خط عربي","Complete Arabic calligraphy starter kit with bamboo pens, ink, and practice sheets. Includes instruction booklet.","طقم خط عربي متكامل للمبتدئين مع أقلام خيزران وحبر وأوراق تدريب. يتضمن كتيب تعليمات.","Complete Arabic calligraphy starter kit with bamboo pens, ink, and practice sheets. Includes instruction booklet.","طقم خط عربي متكامل للمبتدئين مع أقلام خيزران وحبر وأوراق تدريب. يتضمن كتيب تعليمات.",Stationery,"Office Supplies",28.00,,,25,,Active,No,,,,,,,,24,4.5,2,555,arabic-calligraphy-set.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
79,M38-B1256,army-oef-m1xs-main-battle-tank-314pcs,"ARMY-OEF-M1XS Main Battle Tank 314pcs","دبابة قتال رئيسية – 314 قطعة","Get ready for an exciting and tactical experience with the ARMY-OEF-M1XS Main Battle Tank!","استعد لتجربة مليئة بالإثارة والتكتيك مع دبابة القتال الرئيسية ARMY-OEF-M1XS!","Get ready for an exciting and tactical experience with the ARMY-OEF-M1XS Main Battle Tank!","استعد لتجربة مليئة بالإثارة والتكتيك مع دبابة القتال الرئيسية ARMY-OEF-M1XS!","Building Blocks",Military,17.23,,,48,,Active,No,,,,,,,,57,4.5,27,414,army-oef-m1xs-main-battle-tank-314pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
78,M38-B1258,army-oef-stryker-ads-310pcs,"ARMY-OEF-Stryker ADS 310pcs","وحدة سترايكر ADS – طقم تركيب 310 قطعة","Discover tactical building fun with the Sluban OEF Stryker ADS set, featuring 310 pieces.","اكتشف متعة البناء والتكتيك مع طقم وحدة سترايكر ADS من Sluban.","Discover tactical building fun with the Sluban OEF Stryker ADS set, featuring 310 pieces.","اكتشف متعة البناء والتكتيك مع طقم وحدة سترايكر ADS من Sluban.","Building Blocks",Military,17.23,,,48,,Active,No,,,,,,,,33,4.1,22,151,army-oef-stryker-ads-310pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
53,OPZ-8674,aromatherapy-diffuser,"Aromatherapy Diffuser","موزع عطري للروائح","Ultrasonic essential oil diffuser with LED mood lighting. Quiet operation, auto shut-off, 300ml capacity.","موزع زيوت عطرية بالموجات فوق الصوتية مع إضاءة LED. تشغيل هادئ، إيقاف تلقائي، سعة 300 مل.","Ultrasonic essential oil diffuser with LED mood lighting. Quiet operation, auto shut-off, 300ml capacity.","موزع زيوت عطرية بالموجات فوق الصوتية مع إضاءة LED. تشغيل هادئ، إيقاف تلقائي، سعة 300 مل.","Home & Kitchen","Kitchen Appliances",22.00,55.00,60%,42,,Active,No,,,,,,,,21,5.0,1,670,aromatherapy-diffuser.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
